Name,URL
Morteza Abbaszadegan,https://api.elsevier.com/content/author/author_id/7003517577
David Abbott,https://api.elsevier.com/content/author/author_id/57203025942
Joshua Abbott,https://api.elsevier.com/content/author/author_id/25121167800
Kenneth Abbott,https://api.elsevier.com/content/author/author_id/24730583100
Marc Adams,https://api.elsevier.com/content/author/author_id/55444434900
Joni Adamson,https://api.elsevier.com/content/author/author_id/7102296719
Ambika Adhikari,https://api.elsevier.com/content/author/author_id/7004542981
Rimjhim Aggarwal,https://api.elsevier.com/content/author/author_id/7203024983
Datu Buyung Agusdinata,https://api.elsevier.com/content/author/author_id/15755539000
Jorge Ahumada,https://api.elsevier.com/content/author/author_id/7006822063
Barbara Ainsworth,https://api.elsevier.com/content/author/author_id/35399560800
Athena Aktipis,https://api.elsevier.com/content/author/author_id/6506680272
Braden Allenby,https://api.elsevier.com/content/author/author_id/35613906700
Lauren Allsopp,
Philip Allsopp,https://api.elsevier.com/content/author/author_id/55497078200
Absar Alum,https://api.elsevier.com/content/author/author_id/6508312112
Julie Anand,https://api.elsevier.com/content/author/author_id/56226716500
Ariel Anbar,https://api.elsevier.com/content/author/author_id/7004627369
Kathleen Andereck,https://api.elsevier.com/content/author/author_id/6507367957
Marty Anderies,https://api.elsevier.com/content/author/author_id/6603314876
James Anderson,https://api.elsevier.com/content/author/author_id/36532444400
Jean Andino,https://api.elsevier.com/content/author/author_id/6603688475
David Androff,https://api.elsevier.com/content/author/author_id/35368060700
Michael Angilletta,https://api.elsevier.com/content/author/author_id/6603896295
Leanna Archambault,https://api.elsevier.com/content/author/author_id/6701718473
Samuel Ariaratnam,https://api.elsevier.com/content/author/author_id/55675847600
Gregory Asner,https://api.elsevier.com/content/author/author_id/7005140378
Robert Atkinson,https://api.elsevier.com/content/author/author_id/7402372901
Shirley-Ann Augustin-Behravesh,
Bruce Baikie,https://api.elsevier.com/content/author/author_id/54882301600
Becky Ball,https://api.elsevier.com/content/author/author_id/16745124300
Robert Balling,https://api.elsevier.com/content/author/author_id/7102948268
Scott Barclay,https://api.elsevier.com/content/author/author_id/7005525948
Michael Barton,https://api.elsevier.com/content/author/author_id/7202158595
Howard Bashford,https://api.elsevier.com/content/author/author_id/6603376778
George Basile,https://api.elsevier.com/content/author/author_id/8251442300
Jonathan Bate,https://api.elsevier.com/content/author/author_id/36931060800
Heather Bateman,https://api.elsevier.com/content/author/author_id/23977553000
Denise Bates,https://api.elsevier.com/content/author/author_id/16041241800
Tatiana Batova,https://api.elsevier.com/content/author/author_id/36661809800
Dayna Baumeister,https://api.elsevier.com/content/author/author_id/15031170800
Julia Bausch,https://api.elsevier.com/content/author/author_id/55953851400
Aryn Baxter,https://api.elsevier.com/content/author/author_id/55961500200
Ira Bennett,https://api.elsevier.com/content/author/author_id/7006709509
