Name,URL
Diana Bowman,https://api.elsevier.com/content/author/author_id/24450010300
Amanda Ellis,https://api.elsevier.com/content/author/author_id/7201547152
Tim Lant,https://api.elsevier.com/content/author/author_id/16245009500
Cyndi Coon,
Esma Gel,https://api.elsevier.com/content/author/author_id/7801397102
Mark Nauffel,
Sean Dudley,https://api.elsevier.com/content/author/author_id/36173077900
Philip Tarrant,https://api.elsevier.com/content/author/author_id/26322099500
Cheryl Heller,
Dianne Price,
David White,https://api.elsevier.com/content/author/author_id/57190652267
Jessica Givens,
Michael Simeone,https://api.elsevier.com/content/author/author_id/55588247700
Heather Ross,https://api.elsevier.com/content/author/author_id/55681118400
Megan Jehn,https://api.elsevier.com/content/author/author_id/6508358839
Patricia Solis,https://api.elsevier.com/content/author/author_id/7006750636
Elizabeth Wentz,https://api.elsevier.com/content/author/author_id/6701682205
Sarah Jones,https://api.elsevier.com/content/author/author_id/7006343245
Kellie Kreiser,
Michelle Villegas-Gold,https://api.elsevier.com/content/author/author_id/57201428418
Dawn Feldman,https://api.elsevier.com/content/author/author_id/7402702222
Elisa Beinenstock,
Dominque Roe-Sepowitz,
Erin Carr-Jordan,
Kim Merritt,
Darcy Richardson ,https://api.elsevier.com/content/author/author_id/7403440428
Faye Farmer,https://api.elsevier.com/content/author/author_id/7004861508
